Q2 (GeV);x;sigma (mb);sigma error (mb)
3;0.0097701;1.16553e-08;2.53216e-13
3;0.0107227;1.12776e-08;2.39889e-13
3;0.0117681;1.09117e-08;2.33828e-13
3;0.0129155;1.05575e-08;2.26145e-13
3;0.0141747;1.02144e-08;2.17736e-13
3;0.0155568;9.88224e-09;2.13816e-13
3;0.0170735;9.56062e-09;2.08197e-13
3;0.0187382;9.24922e-09;2.01223e-13
3;0.0205651;8.94775e-09;1.93013e-13
3;0.0225702;8.65592e-09;1.82613e-13
3;0.0247708;8.37338e-09;1.77178e-13
3;0.0271859;8.09989e-09;1.71263e-13
3;0.0298365;7.83516e-09;1.65034e-13
3;0.0327455;7.57889e-09;1.61964e-13
3;0.0359381;7.33086e-09;1.57904e-13
3;0.0394421;7.09084e-09;1.50545e-13
3;0.0432876;6.85852e-09;1.46184e-13
3;0.0475081;6.63369e-09;1.40792e-13
3;0.0521401;6.41612e-09;1.33812e-13
3;0.0572237;6.20557e-09;1.29977e-13
3;0.0628029;6.00183e-09;1.22749e-13
3;0.0689261;5.80468e-09;1.22944e-13
3;0.0756463;5.61392e-09;1.20019e-13
3;0.0830218;5.42934e-09;1.15902e-13
3;0.0911163;5.25076e-09;1.11645e-13
3;0.1;5.07796e-09;1.07691e-13
5;1e-05;1.36375e-07;3.18396e-12
5;1.0975e-05;1.32706e-07;3.06391e-12
5;1.2045e-05;1.29117e-07;2.97059e-12
5;1.32194e-05;1.25606e-07;2.90787e-12
5;1.45083e-05;1.22173e-07;2.83478e-12
5;1.59228e-05;1.18817e-07;2.75687e-12
5;1.74753e-05;1.15537e-07;2.67965e-12
5;1.91791e-05;1.12332e-07;2.59871e-12
5;2.1049e-05;1.09201e-07;2.51501e-12
5;2.31013e-05;1.06143e-07;2.43387e-12
5;2.53536e-05;1.03157e-07;2.36164e-12
5;2.78256e-05;1.00242e-07;2.30073e-12
5;3.05386e-05;9.73975e-08;2.25513e-12
5;3.3516e-05;9.46215e-08;2.20771e-12
5;3.67838e-05;9.19131e-08;2.08248e-12
5;4.03702e-05;8.92717e-08;2.00498e-12
5;4.43062e-05;8.66957e-08;1.9243e-12
5;4.8626e-05;8.41844e-08;1.86952e-12
5;5.3367e-05;8.17365e-08;1.8138e-12
5;5.85702e-05;7.93508e-08;1.75904e-12
5;6.42807e-05;7.70263e-08;1.70798e-12
5;7.0548e-05;7.47619e-08;1.71603e-12
5;7.74264e-05;7.25563e-08;1.63974e-12
5;8.49753e-05;7.04085e-08;1.61325e-12
5;9.32603e-05;6.83173e-08;1.59811e-12
5;0.000102353;6.62817e-08;1.57969e-12
5;0.000112332;6.43004e-08;1.53464e-12
5;0.000123285;6.23723e-08;1.44001e-12
5;0.000135305;6.04965e-08;1.33607e-12
5;0.000148497;5.86718e-08;1.32011e-12
5;0.000162975;5.68969e-08;1.27592e-12
5;0.000178865;5.51711e-08;1.25014e-12
5;0.000196304;5.34929e-08;1.21285e-12
5;0.000215443;5.18614e-08;1.20339e-12
5;0.000236449;5.02756e-08;1.18363e-12
5;0.000259502;4.87344e-08;1.15591e-12
5;0.000284804;4.72368e-08;1.06471e-12
5;0.000312572;4.57815e-08;1.01158e-12
5;0.000343047;4.43679e-08;9.23215e-13
5;0.000376494;4.29951e-08;9.6549e-13
5;0.000413201;4.16616e-08;9.57973e-13
5;0.000453488;4.03668e-08;8.68254e-13
5;0.000497702;3.91094e-08;8.58839e-13
5;0.000546228;3.7889e-08;8.11813e-13
5;0.000599484;3.67042e-08;7.99822e-13
5;0.000657933;3.55541e-08;7.81812e-13
5;0.000722081;3.44381e-08;7.1421e-13
5;0.000792483;3.33554e-08;6.9322e-13
5;0.000869749;3.23047e-08;6.9404e-13
5;0.000954548;3.12852e-08;6.59576e-13
5;0.00104762;3.02963e-08;6.53387e-13
5;0.00114976;2.93369e-08;6.08476e-13
5;0.00126186;2.84066e-08;5.87482e-13
5;0.00138489;2.75044e-08;5.66915e-13
5;0.00151991;2.66296e-08;5.47335e-13
5;0.0016681;2.57814e-08;5.30565e-13
5;0.00183074;2.4959e-08;5.14444e-13
5;0.00200923;2.41618e-08;5.01924e-13
5;0.00220513;2.33891e-08;4.91533e-13
5;0.00242013;2.264e-08;4.58545e-13
5;0.00265609;2.1914e-08;4.43193e-13
5;0.00291505;2.12105e-08;4.29606e-13
5;0.00319927;2.05288e-08;4.16634e-13
5;0.00351119;1.98681e-08;4.2907e-13
5;0.00385353;1.92282e-08;3.95981e-13
5;0.00422924;1.86081e-08;3.83947e-13
5;0.00464159;1.80074e-08;3.66562e-13
5;0.00509414;1.74254e-08;3.49339e-13
5;0.00559081;1.68618e-08;3.38257e-13
5;0.00613591;1.63159e-08;3.29174e-13
5;0.00673415;1.57872e-08;3.25472e-13
5;0.00739072;1.5275e-08;3.06471e-13
5;0.00811131;1.47791e-08;2.95366e-13
5;0.00890215;1.42989e-08;2.78499e-13
5;0.0097701;1.38338e-08;2.70366e-13
5;0.0107227;1.33837e-08;2.60767e-13
5;0.0117681;1.29479e-08;2.53123e-13
5;0.0129155;1.25259e-08;2.3528e-13
5;0.0141747;1.21173e-08;2.38352e-13
5;0.0155568;1.17219e-08;2.28636e-13
5;0.0170735;1.1339e-08;2.18614e-13
5;0.0187382;1.09684e-08;2.18216e-13
5;0.0205651;1.06097e-08;2.09144e-13
5;0.0225702;1.02626e-08;2.01271e-13
5;0.0247708;9.92656e-09;1.85344e-13
5;0.0271859;9.60134e-09;1.84305e-13
5;0.0298365;9.28661e-09;1.78529e-13
5;0.0327455;8.98204e-09;1.72878e-13
5;0.0359381;8.68731e-09;1.70427e-13
5;0.0394421;8.40211e-09;1.58528e-13
5;0.0432876;8.12614e-09;1.63187e-13
5;0.0475081;7.85909e-09;1.55613e-13
5;0.0521401;7.6007e-09;1.48277e-13
5;0.0572237;7.35069e-09;1.43747e-13
5;0.0628029;7.1088e-09;1.41238e-13
5;0.0689261;6.87478e-09;1.37638e-13
5;0.0756463;6.64837e-09;1.30299e-13
5;0.0830218;6.42935e-09;1.24704e-13
5;0.0911163;6.21743e-09;1.18124e-13
5;0.1;6.01243e-09;1.13321e-13
8;1e-05;1.48699e-07;3.27821e-12
8;1.0975e-05;1.44574e-07;3.18699e-12
8;1.2045e-05;1.40544e-07;3.13479e-12
8;1.32194e-05;1.36608e-07;3.21121e-12
8;1.45083e-05;1.32764e-07;3.15809e-12
8;1.59228e-05;1.29012e-07;3.00358e-12
8;1.74753e-05;1.25351e-07;2.92631e-12
8;1.91791e-05;1.21777e-07;2.8508e-12
8;2.1049e-05;1.18292e-07;2.75062e-12
8;2.31013e-05;1.14892e-07;2.63805e-12
8;2.53536e-05;1.11577e-07;2.68486e-12
8;2.78256e-05;1.08344e-07;2.57026e-12
8;3.05386e-05;1.05193e-07;2.42923e-12
8;3.3516e-05;1.02123e-07;2.39286e-12
8;3.67838e-05;9.91313e-08;2.34166e-12
8;4.03702e-05;9.62169e-08;2.27586e-12
8;4.43062e-05;9.33782e-08;2.2018e-12
8;4.8626e-05;9.06139e-08;2.12659e-12
8;5.3367e-05;8.79225e-08;2.04631e-12
8;5.85702e-05;8.53026e-08;1.95795e-12
