Q2 (GeV);x;sigma (mb);sigma error (mb)
3;0.00464159;1.55795e-07;2.23267e-12
3;0.00509414;1.50768e-07;2.19143e-12
3;0.00559081;1.45899e-07;2.07733e-12
3;0.00613591;1.41181e-07;2.02742e-12
3;0.00673415;1.36612e-07;1.87168e-12
3;0.00739072;1.32187e-07;1.84649e-12
3;0.00811131;1.27901e-07;1.78364e-12
3;0.00890215;1.23751e-07;1.71256e-12
3;0.0097701;1.19732e-07;1.72133e-12
3;0.0107227;1.1584e-07;1.65075e-12
3;0.0117681;1.12072e-07;1.58765e-12
3;0.0129155;1.08423e-07;1.53564e-12
3;0.0141747;1.04891e-07;1.46357e-12
3;0.0155568;1.01471e-07;1.4276e-12
3;0.0170735;9.81601e-08;1.40174e-12
3;0.0187382;9.49557e-08;1.31213e-12
3;0.0205651;9.18538e-08;1.27119e-12
3;0.0225702;8.88512e-08;1.25866e-12
3;0.0247708;8.59448e-08;1.27036e-12
3;0.0271859;8.31315e-08;1.19067e-12
3;0.0298365;8.04097e-08;1.1646e-12
3;0.0327455;7.77749e-08;1.13589e-12
3;0.0359381;7.52248e-08;1.13968e-12
3;0.0394421;7.27573e-08;1.08365e-12
3;0.0432876;7.03696e-08;1.10064e-12
3;0.0475081;6.80588e-08;1.05203e-12
3;0.0521401;6.5823e-08;1.01027e-12
3;0.0572237;6.36598e-08;1.01507e-12
3;0.0628029;6.15666e-08;9.63889e-13
3;0.0689261;5.95411e-08;9.05913e-13
3;0.0756463;5.75814e-08;8.8375e-13
3;0.0830218;5.56854e-08;8.69197e-13
3;0.0911163;5.38515e-08;8.4084e-13
3;0.1;5.20771e-08;8.44592e-13
5;1e-05;9.96579e-07;1.60749e-11
5;1.0975e-05;9.69105e-07;1.56288e-11
5;1.2045e-05;9.42267e-07;1.55441e-11
5;1.32194e-05;9.16051e-07;1.55174e-11
5;1.45083e-05;8.90455e-07;1.47739e-11
5;1.59228e-05;8.65464e-07;1.49877e-11
5;1.74753e-05;8.41071e-07;1.36192e-11
5;1.91791e-05;8.17269e-07;1.3514e-11
5;2.1049e-05;7.94046e-07;1.27756e-11
5;2.31013e-05;7.71391e-07;1.26271e-11
5;2.53536e-05;7.49295e-07;1.18778e-11
5;2.78256e-05;7.27748e-07;1.15256e-11
5;3.05386e-05;7.06742e-07;1.12005e-11
5;3.3516e-05;6.86265e-07;1.10037e-11
5;3.67838e-05;6.66309e-07;1.07479e-11
5;4.03702e-05;6.46867e-07;1.01228e-11
5;4.43062e-05;6.27926e-07;1.01359e-11
5;4.8626e-05;6.09475e-07;1.02455e-11
5;5.3367e-05;5.91507e-07;9.32471e-12
5;5.85702e-05;5.74012e-07;8.91091e-12
5;6.42807e-05;5.56979e-07;8.55614e-12
5;7.0548e-05;5.40398e-07;9.11075e-12
5;7.74264e-05;5.24264e-07;7.98409e-12
5;8.49753e-05;5.08563e-07;7.87828e-12
