Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
75;0.4;0.00421;-1.46064e-09;2.60947e-11;1.52384
75;0.4;0.0075;-8.30962e-10;2.26272e-11;1.00236
75;0.4;0.0133;-5.9265e-10;1.91874e-11;0.949746
75;0.65;0.00237;7.59102e-08;3.51534e-11;0.43114
75;0.65;0.00421;5.79022e-08;2.79824e-11;0.904341
75;0.65;0.0075;4.40427e-08;2.26794e-11;0.775943
75;0.65;0.0133;3.83138e-08;2.02579e-11;0.457982
75;0.65;0.0237;3.83138e-08;2.02579e-11;0.457982
75;0.9;0.00421;4.63774e-07;5.3411e-11;1.11098
75;0.9;0.0075;3.62687e-07;4.31902e-11;1.19912
75;0.9;0.0133;3.201e-07;3.91488e-11;0.849582
75;0.9;0.0237;3.201e-07;3.91488e-11;0.849582
