Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
45;0.2;0.0075;4.3034e-08;1.44074e-09;0.745555
45;0.4;0.00133;1.99701e-07;4.47704e-09;1.44227
45;0.4;0.00237;1.69597e-07;2.4781e-09;0.140832
45;0.4;0.00421;1.42196e-07;2.29454e-09;1.08672
45;0.4;0.0075;1.42196e-07;2.29454e-09;1.08672
45;0.4;0.0133;1.42196e-07;2.29454e-09;1.08672
45;0.65;0.00133;4.13743e-07;3.5811e-09;0.443463
45;0.65;0.00237;3.4938e-07;3.7595e-09;1.04425
45;0.65;0.00421;2.9379e-07;3.16863e-09;0.881014
45;0.65;0.0075;2.5648e-07;2.43815e-09;1.27867
45;0.65;0.0133;2.5648e-07;2.43815e-09;1.27867
45;0.65;0.0237;2.5648e-07;2.43815e-09;1.27867
45;0.9;0.00237;2.36288e-07;4.09287e-09;0.693792
45;0.9;0.00421;1.94824e-07;3.42831e-09;1.38802
45;0.9;0.0075;1.65864e-07;3.07551e-09;0.849971
45;0.9;0.0133;1.62492e-07;3.901e-09;1.28382
45;0.9;0.0237;1.62492e-07;3.901e-09;1.28382
75;0.1;0.00237;5.01525e-09;5.56171e-10;0.559774
75;0.1;0.00421;5.01525e-09;5.56171e-10;0.559774
75;0.2;0.00237;1.57054e-08;5.94668e-10;0.32005
75;0.2;0.00421;1.57054e-08;5.94668e-10;0.32005
75;0.2;0.0075;1.57054e-08;5.94668e-10;0.32005
75;0.4;0.00237;6.23248e-08;9.65636e-10;0.400371
75;0.4;0.00421;5.1398e-08;7.16301e-10;0.42487
75;0.4;0.0075;5.1398e-08;7.16301e-10;0.42487
75;0.4;0.0133;5.1398e-08;7.16301e-10;0.42487
75;0.65;0.00237;1.32157e-07;1.5473e-09;0.931147
75;0.65;0.00421;1.10502e-07;1.39119e-09;1.83761
75;0.65;0.0075;9.88014e-08;1.45626e-09;0.439351
75;0.65;0.0133;9.88014e-08;1.45626e-09;0.439351
75;0.65;0.0237;9.88014e-08;1.45626e-09;0.439351
75;0.9;0.00421;7.70174e-08;1.65369e-09;0.775675
75;0.9;0.0075;6.58596e-08;1.61728e-09;0.867091
75;0.9;0.0133;6.13869e-08;1.32704e-09;2.06691
75;0.9;0.0237;6.13869e-08;1.32704e-09;2.06691
