Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
28;0.04;0.00133;4.40172e-08;1.26177e-08;1.67218
28;0.1;0.00075;1.7889e-07;1.48379e-08;1.28117
28;0.1;0.00133;1.54074e-07;1.44755e-08;0.749858
28;0.1;0.00237;1.54074e-07;1.44755e-08;0.749858
28;0.1;0.00421;1.54074e-07;1.44755e-08;0.749858
28;0.2;0.00075;9.11253e-07;4.06582e-08;1.28619
28;0.2;0.00133;7.691e-07;2.05255e-08;1.16155
28;0.2;0.00237;6.80938e-07;1.86544e-08;0.661969
28;0.2;0.00421;6.80938e-07;1.86544e-08;0.661969
28;0.2;0.0075;6.80938e-07;1.86544e-08;0.661969
28;0.4;0.00075;3.70136e-06;3.8113e-08;0.231026
28;0.4;0.00133;3.14433e-06;3.66058e-08;1.21018
28;0.4;0.00237;2.61978e-06;2.59815e-08;0.679761
28;0.4;0.00421;2.31418e-06;3.10253e-08;0.231655
28;0.4;0.0075;2.31418e-06;3.10253e-08;0.231655
28;0.4;0.0133;2.31418e-06;3.10253e-08;0.231655
28;0.65;0.00075;7.30694e-06;5.72153e-08;1.13966
28;0.65;0.00133;6.14306e-06;3.63175e-08;2.47301
28;0.65;0.00237;5.23467e-06;5.47721e-08;0.60528
28;0.65;0.00421;4.40297e-06;4.05801e-08;0.84067
28;0.65;0.0075;3.99206e-06;3.91749e-08;0.547914
28;0.65;0.0133;3.99206e-06;3.91749e-08;0.547914
28;0.65;0.0237;3.99206e-06;3.91749e-08;0.547914
28;0.9;0.00133;3.94691e-06;5.23632e-08;0.399738
28;0.9;0.00237;3.39755e-06;5.06457e-08;0.866238
28;0.9;0.00421;2.91246e-06;4.52762e-08;0.890213
28;0.9;0.0075;2.52334e-06;2.71335e-08;0.0957432
28;0.9;0.0133;2.3811e-06;3.26197e-08;0.78669
28;0.9;0.0237;2.3811e-06;3.26197e-08;0.78669
45;0.04;0.00133;1.33077e-08;4.442e-09;1.48947
45;0.1;0.00133;7.73786e-08;5.99275e-09;1.47392
45;0.1;0.00237;7.73786e-08;5.99275e-09;1.47392
45;0.2;0.00133;2.98065e-07;7.91791e-09;0.874105
45;0.2;0.00237;2.73488e-07;9.89853e-09;0.229767
45;0.2;0.00421;2.73488e-07;9.89853e-09;0.229767
45;0.2;0.0075;2.73488e-07;9.89853e-09;0.229767
45;0.4;0.00133;1.22126e-06;1.48563e-08;0.393495
45;0.4;0.00237;1.0667e-06;1.02585e-08;0.884303
45;0.4;0.00421;8.99983e-07;8.91761e-09;0.097991
45;0.4;0.0075;8.99983e-07;8.91761e-09;0.097991
45;0.4;0.0133;8.99983e-07;8.91761e-09;0.097991
45;0.65;0.00133;2.55488e-06;1.35754e-08;0.809675
45;0.65;0.00237;2.16268e-06;1.48283e-08;1.08021
45;0.65;0.00421;1.83042e-06;1.42885e-08;1.61907
45;0.65;0.0075;1.60635e-06;1.00593e-08;1.13882
45;0.65;0.0133;1.60635e-06;1.00593e-08;1.13882
45;0.65;0.0237;1.60635e-06;1.00593e-08;1.13882
45;0.9;0.00237;1.47408e-06;2.57799e-08;0.977517
45;0.9;0.00421;1.24218e-06;2.4433e-08;0.59916
45;0.9;0.0075;1.08487e-06;1.40508e-08;0.788207
45;0.9;0.0133;1.01677e-06;1.42379e-08;0.352743
45;0.9;0.0237;1.01677e-06;1.42379e-08;0.352743
75;0.1;0.00237;2.69903e-08;3.97447e-09;0.689724
75;0.1;0.00421;2.69903e-08;3.97447e-09;0.689724
75;0.2;0.00237;9.3034e-08;3.83769e-09;0.399834
75;0.2;0.00421;9.3034e-08;3.83769e-09;0.399834
75;0.2;0.0075;9.3034e-08;3.83769e-09;0.399834
75;0.4;0.00237;3.85999e-07;3.767e-09;0.834747
75;0.4;0.00421;3.32272e-07;3.72166e-09;0.797568
75;0.4;0.0075;3.32272e-07;3.72166e-09;0.797568
75;0.4;0.0133;3.32272e-07;3.72166e-09;0.797568
75;0.65;0.00237;8.15706e-07;9.36547e-09;2.65777
75;0.65;0.00421;6.9369e-07;6.95539e-09;1.08252
75;0.65;0.0075;6.00858e-07;6.07647e-09;1.98161
75;0.65;0.0133;6.00858e-07;6.07647e-09;1.98161
75;0.65;0.0237;6.00858e-07;6.07647e-09;1.98161
75;0.9;0.00421;4.93275e-07;8.13386e-09;0.559817
75;0.9;0.0075;4.20035e-07;9.25855e-09;0.250378
75;0.9;0.0133;3.92565e-07;7.03647e-09;0.513532
75;0.9;0.0237;3.92565e-07;7.03647e-09;0.513532
