Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
45;0.2;0.00133;2.71327e-10;7.59513e-11;0.719342
45;0.2;0.00237;2.14313e-10;6.53371e-11;2.23784
45;0.2;0.00421;2.14313e-10;6.53371e-11;2.23784
45;0.2;0.0075;2.14313e-10;6.53371e-11;2.23784
45;0.4;0.00133;2.60281e-09;1.55992e-10;1.84997
45;0.4;0.00237;1.83638e-09;1.39999e-10;0.668975
45;0.4;0.00421;1.58231e-09;1.00518e-10;0.574578
45;0.4;0.0075;1.58231e-09;1.00518e-10;0.574578
45;0.4;0.0133;1.58231e-09;1.00518e-10;0.574578
45;0.65;0.00133;4.94637e-08;2.47415e-10;0.99262
45;0.65;0.00237;3.79173e-08;1.7618e-10;1.63852
45;0.65;0.00421;2.91659e-08;1.15824e-10;1.97221
45;0.65;0.0075;2.38718e-08;1.27079e-10;0.931145
45;0.65;0.0133;2.38718e-08;1.27079e-10;0.931145
45;0.65;0.0237;2.38718e-08;1.27079e-10;0.931145
45;0.9;0.00237;0;0;0
45;0.9;0.00421;0;0;0
45;0.9;0.0075;0;0;0
45;0.9;0.0133;0;0;0
45;0.9;0.0237;0;0;0
75;0.1;0.00237;1.41321e-11;2.06773e-11;0.241898
75;0.1;0.00421;1.41321e-11;2.06773e-11;0.241898
75;0.2;0.00237;5.93466e-11;3.14707e-11;0.911045
75;0.2;0.00421;5.93466e-11;3.14707e-11;0.911045
75;0.2;0.0075;5.93466e-11;3.14707e-11;0.911045
75;0.4;0.00237;4.43113e-10;5.67367e-11;1.69144
75;0.4;0.00421;3.56069e-10;3.36097e-11;2.24796
75;0.4;0.0075;3.56069e-10;3.36097e-11;2.24796
75;0.4;0.0133;3.56069e-10;3.36097e-11;2.24796
75;0.65;0.00237;1.03209e-08;8.652e-11;1.23076
75;0.65;0.00421;7.72987e-09;5.34284e-11;1.30632
75;0.65;0.0075;6.18772e-09;4.7293e-11;0.486951
75;0.65;0.0133;6.18772e-09;4.7293e-11;0.486951
75;0.65;0.0237;6.18772e-09;4.7293e-11;0.486951
75;0.9;0.00421;2.46294e-08;5.17255e-11;1.57056
75;0.9;0.0075;1.88705e-08;6.64709e-11;1.0093
75;0.9;0.0133;1.72413e-08;2.93622e-11;0.112205
75;0.9;0.0237;1.72413e-08;2.93622e-11;0.112205
