Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
28;0.4;0.00075;9.12692e-07;6.68761e-09;0.385323
28;0.4;0.00133;7.41197e-07;4.58131e-09;2.14882
28;0.4;0.00237;5.98639e-07;3.90688e-09;1.44032
28;0.4;0.00421;4.90338e-07;3.18673e-09;1.67986
28;0.4;0.0075;4.90338e-07;3.18673e-09;1.67986
28;0.4;0.0133;4.90338e-07;3.18673e-09;1.67986
28;0.65;0.00075;1.19863e-06;5.89234e-09;2.06151
28;0.65;0.00133;9.70218e-07;4.70738e-09;0.664698
28;0.65;0.00237;7.74763e-07;3.51886e-09;0.258803
28;0.65;0.00421;6.27317e-07;3.03488e-09;1.58642
28;0.65;0.0075;5.35479e-07;2.8023e-09;1.34599
28;0.65;0.0133;5.35479e-07;2.8023e-09;1.34599
28;0.65;0.0237;5.35479e-07;2.8023e-09;1.34599
28;0.9;0.00133;0;0;0
28;0.9;0.00237;0;0;0
28;0.9;0.00421;0;0;0
28;0.9;0.0075;0;0;0
28;0.9;0.0133;0;0;0
28;0.9;0.0237;0;0;0
45;0.04;0.00133;2.02621e-09;1.38588e-09;0.212897
45;0.1;0.00133;1.7621e-08;1.19853e-09;1.34523
45;0.1;0.00237;1.7621e-08;1.19853e-09;1.34523
45;0.2;0.00133;7.72519e-08;2.07191e-09;0.759099
45;0.2;0.00237;6.53683e-08;1.41413e-09;0.568725
45;0.2;0.00421;6.53683e-08;1.41413e-09;0.568725
45;0.2;0.0075;6.53683e-08;1.41413e-09;0.568725
45;0.4;0.00133;3.19394e-07;2.7239e-09;0.652596
45;0.4;0.00237;2.50544e-07;2.35764e-09;0.2337
45;0.4;0.00421;2.06631e-07;2.33146e-09;1.58543
45;0.4;0.0075;2.06631e-07;2.33146e-09;1.58543
45;0.4;0.0133;2.06631e-07;2.33146e-09;1.58543
45;0.65;0.00133;4.76068e-07;2.9955e-09;0.614764
45;0.65;0.00237;3.82874e-07;2.24634e-09;1.0753
45;0.65;0.00421;3.04795e-07;1.70313e-09;0.511799
45;0.65;0.0075;2.58755e-07;1.37947e-09;3.43998
45;0.65;0.0133;2.58755e-07;1.37947e-09;3.43998
45;0.65;0.0237;2.58755e-07;1.37947e-09;3.43998
45;0.9;0.00237;0;0;0
45;0.9;0.00421;0;0;0
45;0.9;0.0075;0;0;0
45;0.9;0.0133;0;0;0
45;0.9;0.0237;0;0;0
75;0.1;0.00237;5.80458e-09;8.34005e-10;1.23161
75;0.1;0.00421;5.80458e-09;8.34005e-10;1.23161
75;0.2;0.00237;2.28472e-08;8.0853e-10;0.855324
75;0.2;0.00421;2.28472e-08;8.0853e-10;0.855324
75;0.2;0.0075;2.28472e-08;8.0853e-10;0.855324
75;0.4;0.00237;9.76147e-08;9.68047e-10;1.46492
75;0.4;0.00421;7.81357e-08;7.48573e-10;0.607403
75;0.4;0.0075;7.81357e-08;7.48573e-10;0.607403
75;0.4;0.0133;7.81357e-08;7.48573e-10;0.607403
75;0.65;0.00237;1.61213e-07;1.22684e-09;0.0340135
75;0.65;0.00421;1.30101e-07;1.0521e-09;0.62328
75;0.65;0.0075;1.07403e-07;7.19792e-10;0.890818
75;0.65;0.0133;1.07403e-07;7.19792e-10;0.890818
75;0.65;0.0237;1.07403e-07;7.19792e-10;0.890818
75;0.9;0.00421;2.1289e-08;4.58111e-10;1.47964
75;0.9;0.0075;1.63967e-08;1.98099e-10;0.90951
75;0.9;0.0133;1.54368e-08;1.66192e-10;1.6274
75;0.9;0.0237;1.54368e-08;1.66192e-10;1.6274
