Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
45;0.2;0.00133;8.83643e-10;6.54354e-10;0.809542
45;0.2;0.00237;1.48653e-09;4.51048e-10;0.706938
45;0.2;0.00421;1.48653e-09;4.51048e-10;0.706938
45;0.2;0.0075;1.48653e-09;4.51048e-10;0.706938
45;0.4;0.00133;1.72581e-08;9.38399e-10;0.234395
45;0.4;0.00237;1.30439e-08;7.67909e-10;0.888276
45;0.4;0.00421;1.04498e-08;6.07793e-10;0.654079
45;0.4;0.0075;1.04498e-08;6.07793e-10;0.654079
45;0.4;0.0133;1.04498e-08;6.07793e-10;0.654079
45;0.65;0.00133;3.23868e-07;1.15634e-09;2.24757
45;0.65;0.00237;2.52511e-07;1.27788e-09;0.915728
45;0.65;0.00421;1.94966e-07;9.47408e-10;0.666145
45;0.65;0.0075;1.60693e-07;8.69427e-10;0.33108
45;0.65;0.0133;1.60693e-07;8.69427e-10;0.33108
45;0.65;0.0237;1.60693e-07;8.69427e-10;0.33108
45;0.9;0.00237;0;0;0
45;0.9;0.00421;0;0;0
45;0.9;0.0075;0;0;0
45;0.9;0.0133;0;0;0
45;0.9;0.0237;0;0;0
75;0.1;0.00237;-1.07483e-10;1.92467e-10;1.25283
75;0.1;0.00421;-1.07483e-10;1.92467e-10;1.25283
75;0.2;0.00237;1.12722e-10;1.74509e-10;0.4498
75;0.2;0.00421;1.12722e-10;1.74509e-10;0.4498
75;0.2;0.0075;1.12722e-10;1.74509e-10;0.4498
75;0.4;0.00237;2.6099e-09;3.06301e-10;2.74957
75;0.4;0.00421;2.51356e-09;2.34848e-10;0.303053
75;0.4;0.0075;2.51356e-09;2.34848e-10;0.303053
75;0.4;0.0133;2.51356e-09;2.34848e-10;0.303053
75;0.65;0.00237;6.89286e-08;4.32547e-10;0.908842
75;0.65;0.00421;5.22238e-08;4.01537e-10;1.106
75;0.65;0.0075;4.25017e-08;5.50211e-10;0.192737
75;0.65;0.0133;4.25017e-08;5.50211e-10;0.192737
75;0.65;0.0237;4.25017e-08;5.50211e-10;0.192737
75;0.9;0.00421;1.63876e-07;3.26585e-10;0.0776708
75;0.9;0.0075;1.25997e-07;2.4038e-10;0.17492
75;0.9;0.0133;1.16324e-07;2.56143e-10;0.29803
75;0.9;0.0237;1.16324e-07;2.56143e-10;0.29803
